Funds,Focus Area,Strategic Outcome,Funding Stream,Agency Andar #,Agency Name,Program Andar #,Program Name,2015-16 Allocation,Grant Start Date,Grant End Date,Short Program Description,Planner,Target Population,Early Childhood,Middle Years,Families,Seniors,Parents/Caregivers,Youth,Immigrants/Refugees,Women,Aboriginal/First Nations,Other,Program Elements,Learning Support ,Science/technology/engineering/math/numeracy ,Language/literacy/reading,"Tutoring, homework clubs",Other,Social and Emotional Health ,Mental wellness,Caregiver/parental support,Self determination/confidence,Pro-social behaviour,Independence,Other,Connections/Healthy Relationships,Intergenerational relationships,Mentoring,Peer relationships,Social connectedness,Interpersonal communication,Parent-child bonding,Cross-cultural relationships,Participation in society,Other,Physical Health and Recreational Activities,Indoor play/activities,Outdoor play/activities,Music,Sports,Dance,Arts and crafts,Theatre,Physical safety/injury prevention,Other,Life Skills,Nutrition and cooking,Growing food,Leadership,Teamwork,Food planning and budgeting,Financial education,Other,System Change,Capacity building,Policy work,Research,Advocacy,Networks/collectives,Other,Address Program Barriers/Access,Child-minding,Transportation,Food provision,Outreach,Other,Food Redistribution,Information and Referral,Geographic Focus Area,First Nation Territories,First Nation Territories,Abbotsford,Chilliwack,Mission,Hope,Kent,Harrison Hot Springs,Boston Bar / North Bend,Dogwood Valley / Emory Creek / Choate / Sunshine Valley / Laidlaw / Spuzzum,Lake Errock / Harrison Mills / Hemlock Valley,Popkum / Bridal Falls,Slesse Park / Baker Trails / Bell Acres,Miracle Valley / Hatzic Prairie,Other,Metro Vancouver Regional District,Anmore,Belcarra,Bowen Island,Burnaby,Coquitlam,Delta,"Langley, City of","Langley, District Municipality",Lions Bay,Maple Ridge,New Westminster,"North Vancouver, City of","North Vancouver, District Municipality",Pitt Meadows,Port Coquitlam,Port Moody,Richmond,Surrey,Tsawwassen First Nation,Vancouver,West Vancouver,White Rock,Barnston Islands / Buntzen Bay / Gambier Island Trust Area / Granite Falls / Strachan Creen / University Endowment Lands (UBC),Squamish-Lillooet Regional District,Lillooet,Squamish,Pemberton,Whistler,Sunshine Coast Regional District,Elphinstone,Gibsons,Halfmoon Bay,Pender Harbour / Egmont / Madeira Park,Roberts Creek,Sechelt District Municipality,Sechelt Indian Government District (Part-Sunshine Coast),"West Howe Sound (Langdale, Port Mellon, Williamson?s Landing, Granthams Landing, Soames, Hopkins Landing, and Gambier and Keats Islands)",Other Areas,Other Areas,Donor Engagement,UW Speaker,Day of Caring,Volunteer Opps,Agency Tour,Agency Fair,Impact Story,Other,Outputs,Total Clients,Early Years (0-6yrs),Middle Years (6-12),Children (0-12yrs),Seniors,Parents/Caregivers,Families,Contacts/Services,Meals/Snacks,Counselling Sessions,Mentors/Tutors,Workshops,Volunteers
UWLM,All That Kids Can Be,Maximizing Impact with Targeted Populations,ECD Refugee Pilot Project,29744,MOSAIC,5665492,Newcomers Centre for Children & Families,150000,20150401,20160331,Settlement service for refugee families with young children that aims to integrate clients into mainstream programs.,Beverley Pitman,Target Population,,,,,,,1,,,,Program Elements,100,1,1,,1,100,1,1,,,,,200,1,,,1,,,,1,,300,,,,,,,,,,200,,,,,,1,,300,,,,,,,200,,,1,1,,300,300,Geographic Focus Area,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,Donor Engagement,0,0,0,0,0,0,0,Outputs,206,122,0,122,0,84,80,,,,,,
UWLM,All That Kids Can Be,Maximizing Impact with Targeted Populations,ECD Refugee Pilot Project,26336,Share Family & Community Services Society,5773080,Tri-Cities Early Years Refugee Project (New Beginnings),123810,20150401,20160331,Services and community capacity building to support refugee families with young children.,Angie Osachoff,Target Population,,,,,,,1,,,,Program Elements,100,1,1,,1,100,1,1,,,,,200,,,,1,,,,1,,300,,,,,,,,,,200,,,,,,1,,300,,,,,,,200,1,1,,1,,300,300,Geographic Focus Area,200,,,,,,,,,,,,,,,,5,5,,,40,,,,,10,,,,,30,10,,,,,,,,,,,,,,,,,,,,,,,,Donor Engagement,0,0,0,0,0,0,0,Outputs,326,108,62,170,0,156,80,,,,,,
UWLM,Poverty to Possibility,Giving Skills to Feed Families,Food for All,174193,Frog Hollow Neighbourhood House,5649439,Frog Hollow Family Food Security Program,19625,20150401,20160331,"Improved access to food security including skills development, community kitchens, cooking classes, community gardens and workshops.",Beverley Pitman,Target Population,,,1,,,,,,,,Program Elements,300,,,,,300,,,,,,,200,,,,1,,,1,,,300,,,,,,,,,,100,1,1,,,1,,,200,,1,1,,1,,200,,,1,,,100,200,Geographic Focus Area,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,Donor Engagement,0,0,0,0,0,0,0,Outputs,,,,,,,,,,,,,
UWLM,Poverty to Possibility,Giving Skills to Feed Families,Food for All,242917,Burnaby Meals on Wheels Society,5649488,Burnaby Community Food Collaboration,19625,20150401,20160331,"Supports, increases and coordinates community kitchens in Burnaby.",Angie Osachoff,Target Population,,,1,,,,,,,,Program Elements,300,,,,,300,,,,,,,200,,,,1,,,1,,,300,,,,,,,,,,300,,,,,,,,100,,1,,,1,,300,,,,,,200,300,Geographic Focus Area,200,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Donor Engagement,0,0,0,0,0,0,0,Outputs,,,,,,,,,,,,,
UWLM,Poverty to Possibility,Giving Skills to Feed Families,Food for All,10298,North Shore Neighbourhood House,5649512,Edible Garden Project,19625,20150401,20160331,Engaging children in hands-on activities in the garden and kitchen to increase their knowledge of food and nutrition.,Eirikka Brandson,Target Population,1,1,,,,,,,,,Program Elements,300,,,,,300,,,,,,,200,,,,1,,,1,,,300,,,,,,,,,,100,1,1,,,,,,300,,,,,,,300,,,,,,200,300,Geographic Focus Area,200,,,,,,,,,,,,,,,,,,,,,,,,,,,80,20,,,,,,,,,,,,,,,,,,,,,,,,,,,Donor Engagement,0,0,0,0,0,0,0,Outputs,,,,,,,,,,,,,
UWLM,Poverty to Possibility,Giving Skills to Feed Families,Food for All,174227,Kitsilano Neighbourhood House,5649678,Westside Seniors Kitchen Project,19625,20150401,20160331,Reduces barriers of accessibility to nutritious food and enables isolated seniors to connect with others.,Beverley Pitman,Target Population,,,,1,,,,,,,Program Elements,300,,,,,300,,,,,,,200,,,,1,,,,,,300,,,,,,,,,,100,1,,,,1,,,300,,,,,,,300,,,,,,100,300,Geographic Focus Area,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,Donor Engagement,0,0,0,0,0,0,0,Outputs,,,,,,,,,,,,,
UWLM,Poverty to Possibility,Giving Skills to Feed Families,Food for All,5121876,Downtown Eastside Neighbourhood House Society,5649744,Serving Food Justice,19625,20150401,20160331,"Improves food security by increasing physical and economic access to adequate amounts of healthy foods for isolated, nutritionally vulnerable seniors.",Beverley Pitman,Target Population,,,,1,,,,,,,Program Elements,300,,,,,300,,,,,,,200,,,,1,,,,,,300,,,,,,,,,,300,,,,,,,,100,,1,,,1,,300,,,,,,200,300,Geographic Focus Area,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,Donor Engagement,0,0,0,0,0,0,0,Outputs,,,,,,,,,,,,,
UWLM,All That Kids Can Be,Helping School-Aged Children Succeed,School's Out,243741,Step by Step Child Development Society,5649116,Hyde Creek After School Activity Program,31000,20150701,20160630,"Operating out of five locations, this program provides a variety of activities for at-risk and vulnerable children.",Angie Osachoff,Target Population,,1,,,,,,,,,Program Elements,300,,,,,300,,,,,,,200,,1,,1,,,,,,100,1,1,1,,,,,,1,200,,,1,1,,,,300,,,,,,,300,,,,,,200,300,Geographic Focus Area,200,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Donor Engagement,0,0,0,0,0,0,0,Outputs,45,,45,45,0,0,30,45,20,0,0,0,0
UWLM,All That Kids Can Be,Helping School-Aged Children Succeed,School's Out,150730,Tri-City Transitions Society,5649165,For Kids Sake Tri-Cities (It's All About Me),20000,20150701,20160630,"Includes art and music facilitation, teamwork development, physical health and well-being, and social and emotional development.",Angie Osachoff,Target Population,,1,,,,,,,,,Program Elements,300,,,,,300,,,,,,,200,,1,,1,,,,,,100,1,1,1,,,,,,,200,,,1,1,,,,300,,,,,,,300,,,,,,300,300,Geographic Focus Area,200,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,30,20,,,,,,,,,,,,,,,,,,,,,,,,Donor Engagement,0,0,0,0,0,0,0,Outputs,0,,238,238,0,0,0,0,238,20,6,0,2
UWLM,All That Kids Can Be,Helping School-Aged Children Succeed,School's Out,15826,Big Sisters of BC Lower Mainland,5649363,Study Buddy Program Surrey Region,25000,20150701,20160630,Girls ages 7-17 are matched with volunteers who offer them educational support and academic assistance.,Beverley Pitman,Target Population,,1,,,,,,,,,Program Elements,300,,,,,300,,,,,,,200,,1,,1,,,,,,300,,,,,,,,,,200,,,1,,,,,300,,,,,,,300,,,,,,300,300,Geographic Focus Area,200,,,,,,,,,,,,,,,,,,,20,,,10,10,,,,,,,,,,100,,10,,,,,,,,,,,,,,,,,,,,Donor Engagement,0,0,0,0,0,0,0,Outputs,19,,5,5,0,0,5,270,0,0,19,13,31
UWLM,Strong Communities,Helping Seniors to Live Independently,Seniors Grant,5816319,Test CB Agency 1,5816343,Test CB Program 6-12,1000,20150401,20160331,This is my test program description,Eirikka Brandson,Target Population,1,1,1,1,1,1,1,1,1,1,Program Elements,300,,,,,200,1,1,1,1,1,1,100,1,1,,,1,1,,1,,100,1,1,,,1,,1,1,,300,,,,,,,,200,,,,1,1,,200,1,1,,,,100,300,Geographic Focus Area,100,45,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,Donor Engagement,1,1,1,1,1,1,1,Outputs,10,10,10,10,10,10,10,10,10,10,10,10,10
UWLM,Strong Communities,Helping Seniors to Live Independently,Seniors Grant,338368,Hollyburn Family Services Society,5988456,Seniors Housing Outreach Program,40000,20150401,20160331,Supports seniors in immediate housing crisis or at risk of homelessness and provides interventions to address chronic tenancy issues.,Eirikka Brandson,Target Population,,,,1,,,,,,,Program Elements,300,,,,,300,,,,,,,300,,,,,,,,,,300,,,,,,,,,,300,,,,,,,,200,,,1,1,,1,100,,1,,1,,300,300,Geographic Focus Area,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,Donor Engagement,1,1,1,1,1,1,0,Outputs,326,,,,326,,0,1168,69,0,0,0,9
UWLM,Strong Communities,Helping Seniors to Live Independently,Seniors Grant,229120,West End Seniors Network Society,5990510,Implementing Representation Agreements,39730,20150401,20160331,Training for volunteers to educate and assist seniors with Representation Agreements ? legal documents for personal planning including finances and healthcare.,Beverley Pitman,Target Population,,,,1,,,,,,,Program Elements,300,,,,,300,,,,,,,300,,,,,,,,,,300,,,,,,,,,,300,,,,,,,,200,,,1,,,,100,,,,1,,300,100,Geographic Focus Area,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,Donor Engagement,1,0,0,1,1,1,0,Outputs,160,,,,160,,0,513,0,297,4,9,12
UWLM,Strong Communities,Helping Seniors to Live Independently,Seniors Grant,6014294,Atira Development Society,5990569,DTES SRO Collaborative's Youth for Seniors Project,40000,20150401,20160331,"An intergenerational outreach project that aims to meet the social, cultural, and housing needs of low-income Chinese seniors living in the Downtown Eastside.",Beverley Pitman,Target Population,,,,1,,1,,,,,Program Elements,300,,,,,300,,,,,,,100,1,,,1,,,,1,,300,,,,,,,,,,300,,,,,,,,300,,,,,,,100,,,,1,,300,300,Geographic Focus Area,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,Donor Engagement,1,1,0,1,1,1,0,Outputs,200,,,,200,,0,60,400,0,0,8,40
UWLM,All That Kids Can Be,Giving Young Children a Healthy Start,Success By 6,237016,Sunshine Coast Community Services Society,5648423,SB6 Sunshine Coast Funding,53185,20150401,20160331,This initiative is to deliver Early Years Programs/Supports in Sunshine Coast Region.,Eirikka Brandson,Target Population,1,,1,,,,,,,,Program Elements,200,1,1,,1,100,,1,,,,,200,,,,,,1,,,,300,,,,,,,,,,300,,,,,,,,300,,,,,,,200,,,,1,,300,300,Geographic Focus Area,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,20,,,,80,,,,,Donor Engagement,0,1,1,1,1,1,0,Outputs,1367,707,6,713,0,654,392,2042,1721,0,38,11,11
UWLM,All That Kids Can Be,Giving Young Children a Healthy Start,Success By 6,165183,New Westminster Family Place Society,5648522,Branching Out Drop-In and Mother Goose On the Move,40890,20150401,20160331,Early childhood development activities that encourage parental involvement and bonding. Opportunities to meet and make friends and learn about other community resources.,Angie Osachoff,Target Population,1,,1,,,,,,,,Program Elements,200,1,1,,1,100,,1,,,,,200,,,,,,1,,,,200,1,1,,,,,,,,300,,,,,,,,300,,,,,,,300,1,,,,,300,300,Geographic Focus Area,200,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Donor Engagement,1,1,0,1,0,1,0,Outputs,311,171,0,171,16,104,133,2605,0,0,0,6,3
UWLM,All That Kids Can Be,Giving Young Children a Healthy Start,Success By 6,16105,SUCCESS (United Chinese Community Enrichment Services Society),5648662,Multicultural Parents and Tots Drop-In,47144,20150401,20160331,"In this culturally inclusive program, parents/caregivers with young children play and experience age-appropriate and creative activities.",Beverley Pitman,Target Population,1,,1,,,,1,,,,Program Elements,200,1,1,,1,100,,1,,,,,200,,,,,,1,,,,200,1,1,,,1,1,,,,300,,,,,,,,300,,,,,,,200,1,,,,,300,300,Geographic Focus Area,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,,,,,,,,,,,,,,,,,,,,,,Donor Engagement,0,0,0,1,0,0,0,Outputs,580,311,0,311,0,269,249,5880,0,0,0,0,7
UWLM,All That Kids Can Be,Giving Young Children a Healthy Start,Success By 6,29769,Richmond Family Place Society,5989199,Richmond City Centre Collaborative Early Years Project (SB6),91350,20150401,20160331,"Activities and resources for parents and young children who are primarily low-income, socially isolated new immigrants and refugees.",Jody Olsson,Target Population,1,,1,,,,1,,,,Program Elements,200,1,1,,1,100,,1,,,,,200,,,,,,1,,,,300,,,,,,,,,,300,,,,,,,,200,,,,1,1,,300,,,,,,300,300,Geographic Focus Area,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,Donor Engagement,1,1,0,1,1,1,0,Outputs,2987,1439,628,2072,91,915,777,10290,51,0,0,30,6
UWLM,All That Kids Can Be,Giving Young Children a Healthy Start,Success By 6,260554,Burnaby Neighbourhood House Society,5989587,Collaborative ECD Programs and Services Project (Burnaby),104326.93,20150401,20160331,A continuum of programs and services for isolated and vulnerable families with young children.,Angie Osachoff,Target Population,1,,1,,,,,,,,Program Elements,200,1,1,,1,100,,1,,,,,200,,,,,,1,,,,300,,,,,,,,,,300,,,,,,,,200,,,1,1,1,,200,,,1,,,300,300,Geographic Focus Area,200,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Donor Engagement,0,0,1,1,1,1,0,Outputs,1376,765,0,765,0,794,776,8310,0,148,0,35,0
UWLM,All That Kids Can Be,Giving Young Children a Healthy Start,Success By 6,29751,Ray-Cam Community Association Ray-Cam Co-Operative Centre,5989751,Getting Ready Program,78750,20150401,20160331,Assists caregivers with young children in preparing for transitions including health and developmental milestones.,Beverley Pitman,Target Population,1,,1,,,,,,,,Program Elements,200,1,1,,1,100,,1,,,,,200,,,,,,1,,,,200,1,1,,,,,,,,300,,,,,,,,300,,,,,,,200,,1,,,,300,300,Geographic Focus Area,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,Donor Engagement,1,0,1,1,1,1,0,Outputs,288,132,21,153,0,135,132,15840,15900,642,20,490,34
