Funds,Focus Area,Strategic Outcome,Funding Stream,Agency Andar #,Agency Name,Program Andar #,Program Name,2015-16 Allocation,Grant Start Date,Grant End Date,Short Program Description,Planner,Target Population,Early Childhood,Middle Years,Families,Seniors,Parents/Caregivers,Youth,Immigrants/Refugees,Women,Aboriginal/First Nations,Other,Program Elements,Learning Support ,Science/technology/engineering/math/numeracy ,Language/literacy/reading,"Tutoring, homework clubs",Other,Social and Emotional Health ,Mental wellness,Caregiver/parental support,Self determination/confidence,Pro-social behaviour,Independence,Other,Connections/Healthy Relationships,Intergenerational relationships,Mentoring,Peer relationships,Social connectedness,Interpersonal communication,Parent-child bonding,Cross-cultural relationships,Participation in society,Other,Physical Health and Recreational Activities,Indoor play/activities,Outdoor play/activities,Music,Sports,Dance,Arts and crafts,Theatre,Physical safety/injury prevention,Other,Life Skills,Nutrition and cooking,Growing food,Leadership,Teamwork,Food planning and budgeting,Financial education,Other,System Change,Capacity building,Policy work,Research,Advocacy,Networks/collectives,Other,Address Program Barriers/Access,Child-minding,Transportation,Food provision,Outreach,Other,Food Redistribution,Information and Referral,Geographic Focus Area,First Nation Territories,First Nation Territories,Fraser Valley Regional District,Abbotsford,Chilliwack,Mission,Hope,Kent,Harrison Hot Springs,Boston Bar / North Bend,Dogwood Valley / Emory Creek / Choate / Sunshine Valley / Laidlaw / Spuzzum,Lake Errock / Harrison Mills / Hemlock Valley,Popkum / Bridal Falls,Slesse Park / Baker Trails / Bell Acres,Miracle Valley / Hatzic Prairie,Other,Metro Vancouver Regional District,Anmore,Belcarra,Bowen Island,Burnaby,Coquitlam,Delta,"Langley, City of","Langley, District Municipality",Lions Bay,Maple Ridge,New Westminster,"North Vancouver, City of","North Vancouver, District Municipality",Pitt Meadows,Port Coquitlam,Port Moody,Richmond,Surrey,Tsawwassen First Nation,Vancouver,West Vancouver,White Rock,Barnston Islands / Buntzen Bay / Gambier Island Trust Area / Granite Falls / Strachan Creen / University Endowment Lands (UBC),Squamish-Lillooet Regional District,Lillooet,Squamish,Pemberton,Whistler,Sunshine Coast Regional District,Elphinstone,Gibsons,Halfmoon Bay,Pender Harbour / Egmont / Madeira Park,Roberts Creek,Sechelt District Municipality,Sechelt Indian Government District (Part-Sunshine Coast),"West Howe Sound (Langdale, Port Mellon, Williamson?s Landing, Granthams Landing, Soames, Hopkins Landing, and Gambier and Keats Islands)",Other Areas,Other Areas,Donor Engagement,UW Speaker,Day of Caring,Volunteer Opps,Agency Tour,Agency Fair,Impact Story,Other,Outputs,Total Clients,Early Years (0-6yrs),Middle Years (6-12),Children (0-12yrs),Seniors,Parents/Caregivers,Families,Contacts/Services,Meals/Snacks,Counselling Sessions,Mentors/Tutors,Workshops,Volunteers
GOV,,,non,7992,mauris viverra,3226,tincidunt ante vel,865,2016-12-29,2016-12-27,donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla,James Moreno,Target Population,1,0,1,0,1,1,1,1,0,0,Program Element,300,1,0,0,0,100,1,1,1,1,1,1,300,1,1,0,1,1,1,1,1,0,200,0,0,1,0,1,1,1,1,1,300,0,0,0,0,0,1,0,100,0,0,0,1,1,1,100,0,0,0,1,0,300,300,Geographic Focus Area,300,79,300,89,84,45,73,11,70,54,,,,34,,300,47,31,83,34,82,63,92,1,100,67,40,20,26,47,61,60,16,5,6,25,39,84,99,55,200,34,45,62,24,200,14,14,87,46,21,32,79,60,100,21,Donor Engagement,1,0,1,0,1,0,1,Outputs,408,25,8,9,86,48,15,2946,4554,4989,4742,6377,4764
GOV,,,magna,2147,curae,5530,ullamcorper augue,3884,2016-08-19,2016-06-26,magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id,Bobby Willis,Target Population,0,1,1,0,1,0,0,0,1,1,Program Element,200,1,1,1,1,200,0,0,0,1,0,1,300,1,1,1,1,1,1,0,0,0,200,0,1,0,1,1,0,1,0,0,200,0,0,1,1,0,1,0,200,1,1,1,1,0,0,300,1,1,1,1,0,100,200,Geographic Focus Area,300,61,200,53,45,93,60,29,77,38,,,,94,,300,91,48,46,38,39,49,32,36,5,25,88,58,39,78,39,66,34,22,11,47,36,74,69,20,200,43,41,77,88,100,10,72,78,14,90,47,2,49,300,75,Donor Engagement,1,1,0,1,0,0,1,Outputs,823,37,41,72,29,2,65,1175,1587,4586,9805,5935,884
GOV,,,habitasse,5211,porta,7447,sit amet,4704,2016-03-20,2016-09-08,magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor,Andrew Reed,Target Population,0,1,0,0,0,1,0,0,0,1,Program Element,100,0,1,1,0,300,1,0,0,0,0,1,200,0,0,0,1,1,1,1,1,1,100,1,0,1,0,1,1,0,1,0,200,1,0,0,1,0,1,1,300,1,1,1,0,1,0,100,1,0,1,1,1,100,200,Geographic Focus Area,200,31,200,12,84,87,67,20,34,12,,,,6,,300,33,54,37,45,53,84,20,69,97,92,63,1,63,47,72,13,60,79,26,24,8,30,16,56,100,63,96,34,40,200,6,45,11,26,78,54,31,63,100,75,Donor Engagement,1,1,0,1,0,0,1,Outputs,166,46,88,34,11,41,48,205,4554,1084,32,4942,8504
UWLM,,,aliquet,9,nam dui,8445,ac,3334,2016-07-28,2016-07-10,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat,Catherine Johnston,Target Population,1,0,1,0,1,0,1,1,0,1,Program Element,100,1,1,1,0,100,0,1,1,1,0,1,300,1,1,0,0,1,0,0,1,1,100,0,0,0,1,0,0,1,1,0,200,1,1,1,0,1,1,0,300,1,0,1,0,0,1,300,1,1,1,0,0,200,100,Geographic Focus Area,300,37,300,86,7,85,44,35,97,2,,,,89,,300,34,73,70,82,88,87,47,55,83,38,55,46,23,7,13,26,22,43,80,52,56,68,60,90,100,60,98,3,49,100,1,83,85,61,47,31,90,23,300,61,Donor Engagement,0,1,0,0,1,1,0,Outputs,994,40,75,97,47,60,56,4805,9393,801,8320,5727,9068
UWLM,,,et,4495,dui proin leo,3042,rutrum,7880,2016-07-03,2016-09-15,curabitur gravida nisi at nibh in hac habitasse platea dictumst,Antonio Reyes,Target Population,1,0,1,0,0,1,1,1,0,1,Program Element,300,0,1,1,1,100,0,0,0,1,1,1,300,1,0,1,1,1,0,1,0,1,200,0,0,0,0,0,0,0,1,0,200,0,1,1,0,0,1,0,100,1,0,1,0,1,1,300,1,0,1,1,0,300,200,Geographic Focus Area,100,26,100,51,77,43,95,58,15,82,,,,41,,200,98,45,80,19,68,50,41,8,78,63,29,74,4,76,12,47,21,12,31,49,98,34,70,62,300,83,28,40,41,300,33,9,38,18,14,23,50,44,200,91,Donor Engagement,1,1,0,1,1,1,1,Outputs,168,18,57,20,89,89,47,4910,4360,9662,6070,2318,2751
GOV,,,neque,4919,volutpat eleifend donec,1304,posuere felis,9548,2016-08-06,2016-03-13,proin at turpis a pede posuere nonummy integer non velit donec,Amanda Ross,Target Population,1,0,1,0,0,1,0,0,1,0,Program Element,100,1,0,1,0,100,1,0,0,0,1,0,200,1,0,1,1,0,1,0,0,0,100,0,1,1,0,1,0,1,1,1,300,0,0,0,1,1,0,0,100,1,1,1,1,0,0,300,0,0,0,0,0,300,200,Geographic Focus Area,200,4,300,11,65,48,22,39,13,43,,,,56,,100,30,14,90,41,94,85,98,2,74,58,81,98,4,5,19,93,46,35,41,53,76,42,35,76,100,17,69,73,36,300,77,83,39,17,41,87,2,50,200,31,Donor Engagement,0,0,0,0,0,0,1,Outputs,252,27,73,58,74,34,17,711,9424,322,6799,4920,1938
UWLM,,,platea,2961,lectus pellentesque,9961,integer a nibh,5739,2016-03-14,2016-03-13,eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum,Mary Baker,Target Population,0,0,1,1,0,1,0,0,1,0,Program Element,200,1,0,1,1,300,1,1,1,1,1,1,300,0,1,0,0,1,0,1,1,0,300,0,1,0,0,0,1,1,0,1,200,0,0,0,0,1,1,1,200,1,0,0,0,1,0,200,1,0,1,1,1,300,100,Geographic Focus Area,300,67,300,88,10,99,53,31,21,50,,,,41,,100,16,54,47,24,88,92,57,61,37,23,93,48,26,99,26,25,59,89,86,15,98,6,31,77,200,50,84,79,53,200,2,22,16,58,34,69,1,17,300,68,Donor Engagement,1,0,0,1,0,0,0,Outputs,907,93,8,51,5,45,95,8925,9889,2867,7840,3712,8389
UWLM,,,justo,6675,curae nulla dapibus dolor,5426,non mi,129,2016-05-09,2016-12-24,aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu,Dennis Patterson,Target Population,0,1,1,1,0,0,1,1,0,1,Program Element,100,0,1,0,1,200,0,1,1,0,0,1,100,0,0,1,0,0,0,0,0,1,200,0,1,0,0,1,0,1,0,0,100,0,1,1,1,1,0,0,100,0,0,0,0,0,0,300,0,1,1,1,1,100,100,Geographic Focus Area,300,74,300,85,49,88,11,41,27,11,,,,61,,300,60,57,89,19,34,65,28,28,42,85,82,86,9,42,14,62,48,66,3,59,37,29,70,73,300,77,2,45,36,300,48,64,20,34,64,60,14,65,300,58,Donor Engagement,1,0,0,0,1,1,1,Outputs,692,39,98,16,53,20,5,4324,86,1158,2786,4589,9102
UWLM,,,potenti,7563,tincidunt in leo maecenas,6272,aenean lectus pellentesque,800,2016-10-01,2016-09-18,nibh ligula nec sem duis aliquam convallis nunc proin at turpis a,Jeffrey Stevens,Target Population,0,1,1,0,1,1,0,0,0,1,Program Element,100,0,0,0,0,200,1,0,0,1,1,0,300,0,0,0,0,0,1,1,0,0,300,0,1,1,1,0,0,1,1,1,300,1,0,0,1,1,0,0,200,1,0,1,1,1,0,100,0,0,1,1,1,300,200,Geographic Focus Area,300,38,100,89,60,93,35,23,91,76,,,,95,,100,63,34,70,86,22,38,17,48,1,47,42,22,3,37,76,22,24,47,90,1,51,99,74,80,300,18,81,37,3,100,61,74,56,2,58,25,22,69,200,89,Donor Engagement,1,1,1,1,0,0,0,Outputs,327,20,16,69,1,84,88,5962,1457,5278,3145,7540,2249
GOV,,,nulla,2983,justo,4497,vel pede morbi,8884,2016-12-01,2016-12-17,nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,Samuel Medina,Target Population,0,0,0,0,0,1,1,1,1,0,Program Element,300,0,0,0,0,200,0,1,1,1,0,1,300,0,1,1,1,1,1,0,0,0,200,0,1,0,0,1,1,0,0,0,100,0,1,0,0,0,1,1,300,0,0,1,0,0,0,100,0,0,0,1,0,300,200,Geographic Focus Area,200,39,300,92,11,47,66,90,41,38,,,,11,,300,8,75,77,43,47,48,63,78,94,4,71,68,47,3,48,98,11,18,34,84,77,58,24,14,300,86,24,23,11,100,96,30,15,14,76,8,24,60,300,60,Donor Engagement,0,1,0,0,0,0,0,Outputs,688,31,21,39,2,32,71,9499,9724,6481,6237,9727,3372
GOV,,,eget,3504,cursus id turpis,6103,imperdiet sapien urna,3535,2016-08-02,2016-10-01,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at,Karen Perez,Target Population,1,0,0,1,0,1,0,0,0,0,Program Element,100,1,0,1,1,100,0,1,1,1,0,1,100,0,0,0,0,0,1,1,0,1,300,0,0,1,1,1,1,1,0,1,200,0,0,1,0,1,1,0,100,0,1,0,0,0,0,300,1,1,0,0,0,200,200,Geographic Focus Area,200,70,200,35,99,1,57,40,56,92,,,,33,,100,17,4,97,15,56,43,14,29,53,8,12,33,38,43,30,90,63,9,48,52,69,29,10,51,300,59,57,91,50,200,98,56,61,84,20,94,23,85,300,15,Donor Engagement,1,0,0,0,0,1,1,Outputs,372,55,12,92,1,26,99,4928,2333,7250,2753,8489,5808
GOV,,,eget,3482,dictumst etiam faucibus,5967,hac habitasse platea dictumst,8162,2016-08-19,2016-07-18,nec nisi volutpat eleifend donec ut dolor morbi vel lectus,Jean Smith,Target Population,0,1,0,1,0,1,0,0,0,1,Program Element,300,1,1,0,0,300,1,1,1,1,1,1,100,0,0,0,0,0,1,0,0,0,200,1,1,0,0,1,1,0,1,1,100,0,1,0,0,0,0,1,200,0,0,0,1,0,0,100,0,0,1,0,1,100,100,Geographic Focus Area,100,25,300,82,34,57,77,24,47,36,,,,81,,300,85,99,20,88,71,83,8,12,35,26,38,41,41,91,51,51,99,79,47,56,11,69,42,20,100,80,21,91,60,200,92,75,94,76,30,14,50,97,300,81,Donor Engagement,0,0,1,0,0,0,0,Outputs,265,16,85,72,44,44,98,2673,3773,368,3962,8506,1457
GOV,,,lobortis,8218,amet cursus,7338,amet consectetuer adipiscing,9017,2016-11-26,2016-11-05,nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla,Eugene Rivera,Target Population,1,0,1,1,1,1,1,1,1,1,Program Element,300,1,1,1,0,200,0,1,1,0,0,1,100,1,1,0,1,1,0,1,0,1,300,0,0,1,0,1,0,1,1,1,300,1,0,0,1,1,1,1,100,1,0,1,0,1,1,100,0,0,1,1,0,300,200,Geographic Focus Area,200,92,200,94,21,74,93,73,59,90,,,,32,,100,65,76,55,79,52,74,35,48,63,4,86,33,75,48,49,10,50,82,37,38,9,74,11,44,100,20,54,6,66,100,89,52,80,42,91,61,46,87,200,41,Donor Engagement,1,0,1,1,0,1,0,Outputs,817,51,14,6,74,15,61,9862,1293,7625,3353,9319,6781
UWLM,,,duis,1077,duis consequat dui nec,6652,pede malesuada,2991,2016-11-07,2016-05-17,primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui,Joyce Carr,Target Population,0,1,1,1,0,0,1,1,1,0,Program Element,100,0,1,0,1,300,0,0,0,0,0,0,300,0,1,0,1,1,0,1,0,0,100,1,0,0,0,1,1,0,0,0,200,0,1,1,1,0,0,0,100,1,0,1,1,1,1,300,1,0,1,1,1,300,200,Geographic Focus Area,300,95,100,42,31,38,87,44,13,51,,,,36,,100,96,35,40,74,81,68,70,74,92,77,59,97,70,19,11,49,71,41,57,41,75,31,36,56,100,70,57,44,24,100,74,74,41,42,8,15,66,91,300,66,Donor Engagement,1,0,0,0,1,0,1,Outputs,475,32,60,31,50,76,35,2008,5886,2058,6461,8941,2362
UWLM,,,turpis,107,sociis natoque,2751,justo pellentesque,2721,2016-11-08,2016-09-13,sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in,Jane Meyer,Target Population,1,0,1,0,0,1,1,1,1,0,Program Element,300,0,0,1,0,200,0,0,0,0,0,0,300,0,1,0,1,1,0,0,0,1,200,1,0,1,0,0,1,1,0,1,100,1,1,0,1,0,1,1,300,1,1,1,0,1,1,100,1,0,1,0,0,300,100,Geographic Focus Area,100,11,300,21,73,45,47,63,71,16,,,,86,,300,48,16,9,13,62,71,90,52,57,77,26,14,7,42,45,83,15,28,60,32,67,83,43,4,100,92,4,82,65,300,77,79,88,70,75,36,29,67,300,66,Donor Engagement,1,1,1,1,1,1,1,Outputs,227,82,19,87,66,17,19,3131,5046,1372,6915,4457,6962
UWLM,,,consequat,9178,vel ipsum praesent blandit,4619,nibh in quis justo,4843,2016-04-12,2017-02-21,mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit,Betty Elliott,Target Population,1,1,0,1,1,1,1,1,0,0,Program Element,200,1,0,0,0,200,1,1,1,1,0,1,300,1,1,0,0,1,0,0,1,0,300,1,1,0,1,1,1,0,1,0,200,1,1,1,0,1,1,0,200,0,0,0,0,0,0,100,0,1,1,0,0,100,100,Geographic Focus Area,200,26,100,73,13,81,87,67,75,89,,,,27,,300,93,79,2,80,65,45,10,28,50,4,36,84,49,69,60,11,41,36,37,92,39,61,17,51,300,93,82,98,73,200,46,21,26,41,29,71,28,22,200,10,Donor Engagement,0,0,1,1,0,0,0,Outputs,863,16,4,22,92,7,91,2468,7325,7752,5823,5039,6449
UWLM,,,nibh,9597,sapien arcu sed,1155,mauris,9310,2016-08-22,2016-04-30,risus dapibus augue vel accumsan tellus nisi eu orci mauris,Lisa Coleman,Target Population,1,1,1,1,0,1,1,1,0,0,Program Element,100,0,0,0,0,300,1,0,0,0,1,0,100,1,0,0,0,0,1,0,1,0,300,1,1,1,0,0,0,1,0,0,100,1,0,1,1,0,0,0,300,0,1,0,1,0,1,100,1,1,1,0,0,100,100,Geographic Focus Area,300,62,300,62,42,72,26,97,80,90,,,,8,,300,2,79,50,60,88,100,79,28,88,94,8,80,83,23,76,60,9,74,63,37,30,100,80,22,200,99,16,41,19,100,70,85,7,89,54,16,43,16,100,46,Donor Engagement,0,0,1,1,1,0,1,Outputs,494,4,21,96,69,28,22,2452,5237,6291,4494,1330,1511
GOV,,,volutpat,912,aenean auctor gravida,4158,turpis adipiscing,63,2017-02-01,2016-05-12,congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque,Andrea Ramirez,Target Population,0,1,1,0,0,1,1,1,1,0,Program Element,100,0,1,0,1,100,1,0,0,1,1,1,200,0,1,1,1,1,1,0,1,0,200,1,0,0,0,0,0,0,1,0,100,0,1,1,0,1,1,0,100,1,0,0,1,1,1,300,1,1,0,1,0,100,100,Geographic Focus Area,200,96,300,89,70,23,86,93,42,38,,,,68,,200,24,37,76,100,98,42,91,71,35,73,83,54,3,13,36,68,54,97,24,21,46,94,8,74,300,65,43,96,58,100,72,41,55,72,18,29,51,90,200,38,Donor Engagement,1,1,0,0,1,1,0,Outputs,998,34,2,10,14,13,49,8078,2639,4273,1666,4251,876
GOV,,,nibh,6668,curabitur at ipsum,2974,ut,8144,2016-08-20,2016-05-29,tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum,Earl Watkins,Target Population,1,1,1,0,0,1,0,0,0,1,Program Element,300,0,1,0,0,100,1,1,1,0,1,1,300,1,1,1,1,1,0,1,1,0,200,0,0,1,1,1,0,0,1,1,200,0,1,1,0,0,0,1,300,1,1,0,1,0,0,300,1,0,0,0,0,300,300,Geographic Focus Area,100,3,200,27,33,49,83,7,17,49,,,,38,,300,3,11,66,10,34,54,45,77,26,8,100,38,83,12,18,44,3,97,47,100,16,15,89,14,300,40,44,45,85,200,97,64,80,84,46,65,90,92,300,68,Donor Engagement,0,1,0,0,1,0,0,Outputs,966,87,71,88,83,91,32,2598,17,6595,6415,3594,2676
GOV,,,lacus,371,dictumst etiam faucibus,6645,mauris sit amet,9538,2016-07-31,2016-12-19,lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum,Evelyn Perkins,Target Population,1,0,0,0,0,0,0,0,0,1,Program Element,300,1,0,0,0,300,0,0,0,1,0,0,300,1,1,0,1,0,0,0,0,0,200,1,1,1,0,1,0,1,0,0,200,0,0,1,0,0,0,0,200,0,1,1,0,0,1,200,0,1,0,1,0,300,100,Geographic Focus Area,200,38,200,73,44,51,98,62,28,64,,,,62,,200,13,26,3,56,85,67,60,74,10,20,7,33,68,75,92,49,36,2,45,57,37,85,84,60,100,26,89,30,72,200,70,56,28,57,90,10,78,78,200,82,Donor Engagement,0,1,0,0,1,0,0,Outputs,834,3,78,1,81,47,74,2608,976,8486,3479,2647,8633
GOV,,,orci,334,rutrum neque aenean auctor,1510,quis orci eget,2650,2017-01-20,2017-01-25,maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien,Joe Williams,Target Population,0,1,1,1,1,0,1,1,0,0,Program Element,300,0,1,0,0,300,0,0,0,0,1,1,100,0,0,1,1,0,1,1,0,1,300,1,0,1,1,1,0,0,1,1,300,1,1,0,0,1,0,1,300,0,1,0,0,1,0,200,0,1,1,0,1,200,100,Geographic Focus Area,100,81,200,99,82,26,60,37,96,87,,,,94,,200,6,82,73,34,51,37,96,79,27,55,48,28,21,73,29,26,18,79,45,27,81,87,44,9,200,15,72,22,44,100,53,27,35,81,3,53,78,26,300,49,Donor Engagement,0,0,1,1,1,1,0,Outputs,964,49,1,23,20,21,8,6699,7536,813,5843,2354,7799
GOV,,,duis,9759,lorem vitae,7892,lacinia erat vestibulum,3062,2016-03-15,2016-11-09,accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa,Willie White,Target Population,1,0,1,0,1,1,1,1,0,0,Program Element,100,0,0,1,1,100,0,0,0,1,1,1,300,0,1,0,1,1,1,0,0,0,100,0,0,0,1,1,0,0,1,1,200,0,0,1,0,1,1,0,100,1,0,1,1,0,0,200,0,0,0,0,1,300,200,Geographic Focus Area,100,99,300,10,17,16,54,58,67,99,,,,61,,200,48,96,55,56,69,64,93,7,68,93,27,71,41,10,43,8,42,73,64,41,47,79,24,93,300,76,37,52,13,200,15,29,77,65,7,7,92,61,200,24,Donor Engagement,0,1,0,1,1,0,1,Outputs,505,2,66,74,9,3,21,9459,6744,7193,2003,5114,1606
UWLM,,,vulputate,2357,ultrices,6932,ut nunc vestibulum,820,2016-08-21,2016-10-20,est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet,Carl Sims,Target Population,0,1,0,1,0,1,0,0,0,0,Program Element,100,1,1,1,1,100,0,1,1,1,0,0,100,0,0,1,1,0,0,0,1,0,300,1,1,1,1,1,1,0,1,0,300,0,0,0,0,0,1,0,300,0,1,1,0,0,1,300,1,0,0,1,0,100,100,Geographic Focus Area,200,66,300,69,47,91,58,55,31,18,,,,93,,200,6,56,82,97,56,4,66,88,28,54,42,40,95,76,96,37,33,96,84,19,13,93,76,92,100,61,18,60,60,200,64,4,56,23,5,11,2,4,200,99,Donor Engagement,1,0,1,1,1,0,0,Outputs,216,93,80,38,58,2,10,7228,638,6656,6873,4302,4338
GOV,,,bibendum,1105,cubilia curae,8246,fermentum justo,1320,2016-07-01,2016-10-01,lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin,Diana Hall,Target Population,1,1,0,0,0,1,1,1,1,0,Program Element,100,0,0,1,1,200,0,0,0,0,0,1,300,0,0,1,0,1,1,1,0,1,100,0,0,1,1,1,0,1,1,0,200,1,0,1,0,1,0,1,200,0,0,0,1,0,0,200,0,1,0,0,0,200,200,Geographic Focus Area,300,35,100,76,68,38,80,17,70,86,,,,100,,300,99,82,56,52,99,26,41,44,21,87,45,51,86,49,15,13,35,4,89,71,32,33,3,16,100,15,95,72,22,100,8,40,34,61,95,84,52,97,100,13,Donor Engagement,0,0,1,0,0,1,0,Outputs,112,94,24,92,98,87,18,5556,543,3421,3679,823,5620
UWLM,,,iaculis,416,erat,5469,purus eu magna vulputate,5216,2017-01-12,2016-08-04,habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem,Melissa Evans,Target Population,1,1,0,1,1,1,0,0,0,1,Program Element,300,0,1,0,1,300,0,1,1,1,1,0,200,0,0,0,0,1,0,0,1,0,100,1,0,1,1,0,1,1,1,1,300,1,1,1,0,0,0,0,200,1,0,1,0,0,1,100,1,1,0,0,1,100,100,Geographic Focus Area,300,43,300,77,94,47,72,81,60,40,,,,88,,100,3,73,10,48,84,15,99,71,22,23,17,36,23,81,26,40,24,70,84,81,19,97,15,75,200,54,57,59,17,100,74,22,34,32,62,82,70,2,300,16,Donor Engagement,1,0,0,1,0,1,0,Outputs,231,38,18,58,53,34,48,805,2585,3474,6499,6648,7356
UWLM,,,fringilla,3261,justo in blandit,2693,cursus id turpis integer,7558,2016-12-24,2016-11-12,interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac,Martha Richards,Target Population,0,1,1,0,1,0,1,1,1,1,Program Element,100,1,0,1,0,100,1,0,0,1,0,1,200,1,0,0,1,1,1,0,0,0,300,1,0,1,1,1,1,1,1,1,100,0,1,0,1,1,1,0,100,1,1,0,1,0,0,200,0,0,1,0,1,200,300,Geographic Focus Area,300,94,200,56,36,24,96,99,50,27,,,,60,,200,86,61,35,62,24,19,39,42,5,45,75,20,85,15,15,21,91,92,14,86,21,15,21,44,300,24,78,74,11,300,78,34,26,97,30,26,65,82,100,82,Donor Engagement,1,1,1,0,1,1,1,Outputs,58,16,79,5,87,28,68,2858,7109,2500,8602,197,4657
GOV,,,proin,9337,at nunc commodo placerat,942,eu tincidunt in leo,3625,2016-08-14,2016-05-18,proin at turpis a pede posuere nonummy integer non velit donec diam neque,Bonnie Holmes,Target Population,1,0,1,1,1,0,1,1,0,0,Program Element,100,0,1,1,0,200,0,1,1,0,0,1,200,0,0,0,1,0,0,1,1,0,200,1,0,1,0,1,1,1,0,0,200,0,1,0,1,0,0,1,200,0,1,1,0,0,0,100,1,0,1,0,0,300,300,Geographic Focus Area,200,87,300,40,70,53,67,28,49,100,,,,66,,300,24,64,5,74,26,24,43,44,33,25,95,97,16,86,49,54,5,14,55,32,57,92,32,1,300,22,51,57,67,200,27,50,94,32,4,35,96,26,100,80,Donor Engagement,1,1,1,1,1,1,1,Outputs,327,71,60,42,93,12,74,9267,4803,2579,5127,816,5289
UWLM,,,imperdiet,1467,habitasse platea dictumst etiam,8614,erat fermentum,886,2016-10-27,2016-06-09,aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a,Stephanie Crawford,Target Population,1,1,0,0,0,1,0,0,1,1,Program Element,300,1,1,0,1,100,1,0,0,0,0,0,100,0,0,1,0,1,0,0,0,1,100,0,0,0,0,1,1,1,1,0,200,0,0,0,0,0,1,1,200,0,1,1,0,1,1,300,0,1,1,0,1,300,100,Geographic Focus Area,200,69,300,78,32,82,64,98,13,23,,,,61,,300,29,79,91,68,46,96,19,18,8,68,11,62,19,51,36,100,38,9,24,99,6,72,27,94,100,100,25,62,38,100,35,25,9,48,7,53,91,9,100,74,Donor Engagement,1,0,0,0,0,1,0,Outputs,715,7,18,1,91,78,17,2539,6914,2694,855,9039,6796
UWLM,,,arcu,7342,odio condimentum id,1756,turpis eget elit,8462,2016-07-27,2016-04-16,mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam,Benjamin Graham,Target Population,1,0,1,1,1,1,0,0,0,1,Program Element,200,0,0,0,0,300,1,1,1,0,0,0,100,0,0,0,0,0,0,1,0,0,300,1,0,1,1,0,1,0,1,1,200,0,0,0,0,0,0,1,200,0,0,0,1,0,0,300,0,0,0,0,0,200,200,Geographic Focus Area,100,12,300,93,7,41,69,11,58,43,,,,70,,100,24,81,51,21,5,74,73,71,12,79,27,71,12,69,10,21,8,94,5,76,33,19,57,22,100,52,8,14,89,300,18,40,52,89,2,46,11,33,300,75,Donor Engagement,1,1,0,0,1,1,1,Outputs,864,88,39,98,11,36,86,6539,6523,382,6281,8219,6811
UWLM,,,sagittis,468,enim blandit mi,6675,ridiculus,8767,2016-04-02,2017-01-18,mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum,Doris Kelley,Target Population,1,1,1,1,0,0,1,1,0,0,Program Element,200,1,1,0,0,200,0,1,1,0,1,0,100,1,1,0,0,1,1,1,0,0,200,0,1,1,1,1,0,0,0,0,100,0,1,1,0,0,0,1,300,1,0,0,0,0,0,300,1,1,0,1,0,300,300,Geographic Focus Area,200,26,100,39,96,64,34,97,15,12,,,,36,,300,18,35,80,13,84,87,62,13,67,13,25,77,23,29,85,85,12,1,19,61,80,68,89,100,300,18,73,15,77,200,33,63,13,70,90,99,88,48,100,84,Donor Engagement,0,1,0,0,1,1,0,Outputs,908,42,28,40,17,7,18,6342,3737,3892,7277,9392,6010
